TIME,FLIGHT,FROM,AIRLINE,AIRCRAFT,Unnamed: 5,STATUS,DATE,ARRIVAL_AIRPORT_CODE,ARRIVAL_AIRPORT_NAME,WEATHER_ARRIVAL,WIND_ARRIVAL,DIRECTION_ARRIVAL,WEATHER_DEPARTURE,WIND_DEPARTURE,DIRECTION_DEPARTURE,Scheduled_departures,Actual_departures,Scheduled_arrival,Actual_arrival
12:25 PM,S5234,Ghaziabad (HDO),Abakan Air,ERJ,,Scheduled,"Wednesday, Jun 19",AIP,Adampur Airport,,,,,,,11:25 AM,12:20 PM,00:43,12:25 PM
8:05 AM,6E7089,Kolkata (CCU),IndiGo,AT76 (VT-IYY),,Scheduled,"Wednesday, Jun 19",IXA,Agartala Airport,25 °C,6 kts,50 °,29 °C,10 kts,170 °,6:55 AM,6:52 AM,00:57,8:05 AM
8:55 AM,6E7418,Kolkata (CCU),IndiGo,AT76 (VT-IRN),,Scheduled,"Wednesday, Jun 19",IXA,Agartala Airport,25 °C,6 kts,50 °,29 °C,10 kts,170 °,7:35 AM,7:39 AM,00:58,8:55 AM
10:40 AM,6E6068,Kolkata (CCU),IndiGo,A20N (VT-ISZ),,Scheduled,"Wednesday, Jun 19",IXA,Agartala Airport,25 °C,6 kts,50 °,29 °C,10 kts,170 °,9:50 AM,—,—,10:40 AM
12:50 PM,6E524,Bengaluru (BLR),IndiGo,A21N (VT-ILM),,Scheduled,"Wednesday, Jun 19",IXA,Agartala Airport,25 °C,6 kts,50 °,24 °C,10 kts,260 °,1:20 PM,2:10 PM,00:54,2:15 PM
1:00 PM,AI743,Kolkata (CCU),Air India,A20N (VT-RTQ),,Scheduled,"Wednesday, Jun 19",IXA,Agartala Airport,25 °C,6 kts,50 °,29 °C,10 kts,170 °,12:00 PM,1:02 PM,00:38,1:00 PM
2:00 PM,6E6771,Guwahati (GAU),IndiGo,A20N (VT-IIA),,Scheduled,"Wednesday, Jun 19",IXA,Agartala Airport,25 °C,6 kts,50 °,26 °C,2 kts,350 °,1:10 PM,1:19 PM,00:37,2:00 PM
2:20 PM,QP1323,Guwahati (GAU),Akasa Air,7M8,,Scheduled,"Wednesday, Jun 19",IXA,Agartala Airport,25 °C,6 kts,50 °,26 °C,2 kts,350 °,1:15 PM,1:31 PM,00:33,2:20 PM
3:10 PM,6E2206,Delhi (DEL),IndiGo,A320 (ES-SAF),,Scheduled,"Wednesday, Jun 19",IXA,Agartala Airport,25 °C,6 kts,50 °,30 °C,10 kts,10 °,12:35 PM,12:49 PM,02:04,3:10 PM
9:00 AM,IC5904,Goa (GOX),Fly91,AT7,,Scheduled,"Wednesday, Jun 19",AGX,Agatti Airport,32 °C,12 kts,260 °,,,,,,,
10:30 AM,9I505,Cochin (COK),Alliance Air,AT7,,Scheduled,"Wednesday, Jun 19",AGX,Agatti Airport,32 °C,12 kts,260 °,25 °C,Calm,,9:05 AM,9:33 AM,—,10:30 AM
11:50 AM,6E7271,Bengaluru (BLR),IndiGo,AT76 (VT-IYQ),,Scheduled,"Wednesday, Jun 19",AGX,Agatti Airport,32 °C,12 kts,260 °,24 °C,10 kts,260 °,9:35 AM,9:48 AM,—,11:50 AM
1:00 PM,6E7005,Cochin (COK),IndiGo,AT76 (VT-IYC),,Scheduled,"Wednesday, Jun 19",AGX,Agatti Airport,32 °C,12 kts,260 °,25 °C,Calm,,11:25 AM,11:40 AM,—,1:00 PM
2:00 PM,9I508,Cochin (COK),Alliance Air,AT7,,Scheduled,"Wednesday, Jun 19",AGX,Agatti Airport,32 °C,12 kts,260 °,25 °C,Calm,,12:35 PM,—,—,2:00 PM
9:00 AM,IC5904,Goa (GOX),Fly91,AT7,,Scheduled,"Wednesday, Jun 19",AGX,Agatti Airport,32 °C,12 kts,260 °,,,,,,,
12:50 PM,6E5316,Mumbai (BOM),IndiGo,A20N (VT-IVV),,Scheduled,"Wednesday, Jun 19",AGR,Agra Airport,27 °C,23 kts,10 °,29 °C,8 kts,210 °,10:40 AM,11:12 AM,01:54,1:00 PM
1:40 PM,6E7928,Lucknow (LKO),IndiGo,AT76 (VT-IYZ),,Scheduled,"Wednesday, Jun 19",AGR,Agra Airport,27 °C,23 kts,10 °,35 °C,8 kts,250 °,,,,
10:25 PM,6E2153,Delhi (DEL),IndiGo,A20N (VT-IXE),,Delayed 11:01 PM,"Wednesday, Jun 19",AMD,Ahmedabad International Airport,32 °C,10 kts,160 °,30 °C,10 kts,10 °,8:55 PM,9:50 PM,01:28,10:25 PM
10:35 PM,6E7169,Nagpur (NAG),IndiGo,AT76 (VT-IXS),,Landed 10:10 PM,"Wednesday, Jun 19",AMD,Ahmedabad International Airport,32 °C,10 kts,160 °,28 °C,4 kts,200 °,8:30 PM,8:23 PM,01:47,10:35 PM
10:40 PM,AK91,Kuala Lumpur (KUL),AirAsia,A20N (9M-AGO),,Landed 10:24 PM,"Wednesday, Jun 19",AMD,Ahmedabad International Airport,32 °C,10 kts,160 °,27 °C,Calm,,8:00 PM,8:03 PM,04:51,10:40 PM
10:40 PM,6E5283,Mumbai (BOM),IndiGo,A320 (VT-IAS),,Delayed 11:01 PM,"Wednesday, Jun 19",AMD,Ahmedabad International Airport,32 °C,10 kts,160 °,29 °C,8 kts,210 °,9:25 PM,10:11 PM,01:01,10:40 PM
10:45 PM,6E216,Hyderabad (HYD),IndiGo,A20N (VT-IJJ),,Estimated 10:45 PM,"Wednesday, Jun 19",AMD,Ahmedabad International Airport,32 °C,10 kts,160 °,27 °C,13 kts,260 °,9:00 PM,9:29 PM,01:20,10:45 PM
10:50 PM,VJ1805,Ho Chi Minh City (SGN),VietJet Air,A21N (VN-A527),,Estimated 10:57 PM,"Wednesday, Jun 19",AMD,Ahmedabad International Airport,32 °C,10 kts,160 °,29 °C,8 kts,240 °,7:10 PM,7:46 PM,04:53,10:50 PM
10:55 PM,UK929,Delhi (DEL),Vistara,A20N (VT-TNK),,Estimated 10:59 PM,"Wednesday, Jun 19",AMD,Ahmedabad International Airport,32 °C,10 kts,160 °,30 °C,10 kts,10 °,9:25 PM,9:49 PM,01:11,10:55 PM
10:55 PM,6E7292,Bhopal (BHO),IndiGo,AT76 (VT-IRL),,Delayed 11:18 PM,"Wednesday, Jun 19",AMD,Ahmedabad International Airport,32 °C,10 kts,160 °,30 °C,8 kts,180 °,9:35 PM,10:07 PM,01:23,10:55 PM
9:40 AM,9I783,Guwahati (GAU),Alliance Air,AT7,,Scheduled,"Wednesday, Jun 19",AJL,Aizawl Lengpui Airport,24 °C,2 kts,280 °,26 °C,2 kts,350 °,,,,
9:50 AM,6E6941,Kolkata (CCU),IndiGo,A20N (VT-IJZ),,Scheduled,"Wednesday, Jun 19",AJL,Aizawl Lengpui Airport,24 °C,2 kts,280 °,29 °C,10 kts,170 °,8:30 AM,9:14 AM,00:49,9:50 AM
10:45 AM,9I755,Guwahati (GAU),Alliance Air,AT7,,Scheduled,"Wednesday, Jun 19",AJL,Aizawl Lengpui Airport,24 °C,2 kts,280 °,26 °C,2 kts,350 °,,,,
11:05 AM,9I731,Imphal (IMF),Alliance Air,AT7,,Scheduled,"Wednesday, Jun 19",AJL,Aizawl Lengpui Airport,24 °C,2 kts,280 °,24 °C,Calm,,5:34 AM,5:34 AM,00:45,11:49 AM
12:30 PM,6E6955,Guwahati (GAU),IndiGo,A20N (VT-IJZ),,Scheduled,"Wednesday, Jun 19",AJL,Aizawl Lengpui Airport,24 °C,2 kts,280 °,26 °C,2 kts,350 °,11:30 AM,12:15 PM,00:46,12:30 PM
1:10 PM,6E282,Delhi (DEL),IndiGo,A320 (VT-IAR),,Scheduled,"Wednesday, Jun 19",AJL,Aizawl Lengpui Airport,24 °C,2 kts,280 °,30 °C,10 kts,10 °,10:30 AM,10:35 AM,02:18,1:10 PM
1:55 PM,6E457,Guwahati (GAU),IndiGo,A20N (VT-ITL),,Scheduled,"Wednesday, Jun 19",AJL,Aizawl Lengpui Airport,24 °C,2 kts,280 °,26 °C,2 kts,350 °,12:55 PM,1:05 PM,00:39,1:55 PM
2:20 PM,6E6616,Kolkata (CCU),IndiGo,A20N (VT-ISZ),,Scheduled,"Wednesday, Jun 19",AJL,Aizawl Lengpui Airport,24 °C,2 kts,280 °,29 °C,10 kts,170 °,1:05 PM,1:40 PM,00:56,2:20 PM
9:30 AM,9I697,Delhi (DEL),Alliance Air,AT7,,Scheduled,"Wednesday, Jun 19",IXD,Allahabad Airport,36 °C,4 kts,250 °,30 °C,10 kts,10 °,3:45 PM,4:40 PM,—,5:30 PM
11:20 AM,6E7926,Bhopal (BHO),IndiGo,AT76 (VT-IXZ),,Scheduled,"Wednesday, Jun 19",IXD,Allahabad Airport,36 °C,4 kts,250 °,30 °C,8 kts,180 °,9:55 AM,9:53 AM,01:16,11:20 AM
11:40 AM,6E7942,Bhubaneswar (BBI),IndiGo,AT76 (VT-IYI),,Scheduled,"Wednesday, Jun 19",IXD,Allahabad Airport,36 °C,4 kts,250 °,30 °C,10 kts,190 °,9:50 AM,9:32 AM,—,11:40 AM
12:25 PM,6E5076,Delhi (DEL),IndiGo,A21N (VT-IUH),,Scheduled,"Wednesday, Jun 19",IXD,Allahabad Airport,36 °C,4 kts,250 °,30 °C,10 kts,10 °,11:10 AM,11:49 AM,—,12:25 PM
1:00 PM,QP1546,Mumbai (BOM),Akasa Air,7M8,,Scheduled,"Wednesday, Jun 19",IXD,Allahabad Airport,36 °C,4 kts,250 °,29 °C,8 kts,210 °,10:35 AM,10:50 AM,—,1:00 PM
1:45 PM,9I698,Bilaspur (PAB),Alliance Air,AT7,,Scheduled,"Wednesday, Jun 19",IXD,Allahabad Airport,36 °C,4 kts,250 °,,,,5:55 PM,6:49 PM,01:25,7:35 PM
2:00 PM,6E6937,Mumbai (BOM),IndiGo,A20N (VT-IXA),,Scheduled,"Wednesday, Jun 19",IXD,Allahabad Airport,36 °C,4 kts,250 °,29 °C,8 kts,210 °,11:55 AM,12:08 PM,—,2:00 PM
4:00 PM,6E7924,Dehradun (DED),IndiGo,AT76 (VT-IYI),,Scheduled,"Wednesday, Jun 19",IXD,Allahabad Airport,36 °C,4 kts,250 °,23 °C,8 kts,60 °,2:15 PM,2:18 PM,—,4:00 PM
10:30 PM,AI479,Delhi (DEL),Air India,A321 (VT-PPL),,Estimated 10:42 PM,"Wednesday, Jun 19",ATQ,Amritsar International Airport,31 °C,10 kts,90 °,30 °C,10 kts,10 °,9:15 PM,9:55 PM,00:47,10:30 PM
11:45 PM,NO324,Rome (FCO),Neos,B789 (EI-NEO),,Estimated 11:55 PM,"Wednesday, Jun 19",ATQ,Amritsar International Airport,31 °C,10 kts,90 °,29 °C,6 kts,130 °,1:15 PM,1:46 PM,06:56,11:45 PM
1:15 AM,6E9156,Chandigarh (IXC),IndiGo,A20N (VT-IPL),,Scheduled,"Wednesday, Jun 19",ATQ,Amritsar International Airport,31 °C,10 kts,90 °,28 °C,19 kts,20 °,12:30 AM,12:34 AM,00:27,1:15 AM
2:05 AM,QR548,Doha (DOH),Qatar Airways,A320 (A7-AHB),,Scheduled,"Wednesday, Jun 19",ATQ,Amritsar International Airport,31 °C,10 kts,90 °,37 °C,4 kts,220 °,7:55 PM,8:06 PM,—,2:05 AM
3:40 AM,AI487,Delhi (DEL),Air India,A321 (VT-PPX),,Scheduled,"Wednesday, Jun 19",ATQ,Amritsar International Airport,31 °C,10 kts,90 °,30 °C,10 kts,10 °,2:20 AM,—,—,3:40 AM
3:50 AM,IX138,Sharjah (SHJ),Air India Express (Spices-Fishing Livery),B738 (VT-GHK),,Scheduled,"Wednesday, Jun 19",ATQ,Amritsar International Airport,31 °C,10 kts,90 °,37 °C,4 kts,200 °,11:00 PM,—,—,3:50 AM
4:35 AM,6E721,Pune (PNQ),IndiGo,A20N (VT-IPU),,Scheduled,"Wednesday, Jun 19",ATQ,Amritsar International Airport,31 °C,10 kts,90 °,26 °C,8 kts,250 °,2:15 AM,2:21 AM,01:59,4:35 AM
6:10 AM,AI453,Delhi (DEL),Air India,A321 (VT-PPQ),,Scheduled,"Wednesday, Jun 19",ATQ,Amritsar International Airport,31 °C,10 kts,90 °,30 °C,10 kts,10 °,4:55 AM,5:32 AM,00:43,6:10 AM
6:15 AM,6E6227,Mumbai (BOM),IndiGo,A20N (VT-IXA),,Scheduled,"Wednesday, Jun 19",IXU,Aurangabad Airport,28 °C,4 kts,270 °,29 °C,8 kts,210 °,5:15 AM,5:22 AM,00:40,6:15 AM
7:00 AM,AI443,Delhi (DEL),Air India,A320 (VT-EXD),,Scheduled,"Wednesday, Jun 19",IXU,Aurangabad Airport,28 °C,4 kts,270 °,30 °C,10 kts,10 °,5:00 AM,5:13 AM,01:27,7:00 AM
8:45 AM,6E7252,Hyderabad (HYD),IndiGo,AT76 (VT-IYJ),,Scheduled,"Wednesday, Jun 19",IXU,Aurangabad Airport,28 °C,4 kts,270 °,27 °C,13 kts,260 °,7:20 AM,7:18 AM,01:10,8:45 AM
